                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94181,                0.82089,                 1.4317,                0.94297,                0.92838,                0.97029,                0.77911,                0.79984,                0.54419,                 1.2874,              0.0010619,              0.0010619,              0.0010619
                     36,                0.94097,                0.81692,                 1.4287,                0.95848,                0.92766,                0.97845,                0.78796,                0.78756,                0.52272,                 1.2999,              0.0010435,              0.0010435,              0.0010435
                     37,                0.92079,                0.79957,                 1.4105,                0.95464,                0.94288,                0.97529,                0.79958,                0.75864,                0.50321,                 1.2639,              0.0010252,              0.0010252,              0.0010252
                     38,                 0.9261,                0.78189,                 1.4196,                 0.9673,                0.94375,                0.98077,                0.80982,                0.74794,                0.49354,                 1.2539,              0.0010069,              0.0010069,              0.0010069
                     39,                0.92665,                0.77265,                 1.4146,                0.95607,                0.94275,                0.97642,                0.80378,                0.76338,                0.49526,                 1.2498,             0.00098853,             0.00098853,             0.00098853
                     40,                 0.9051,                0.77026,                 1.3943,                0.97603,                0.94185,                 0.9822,                0.82058,                0.71994,                0.47429,                 1.2108,             0.00097019,             0.00097019,             0.00097019
                     41,                 0.8941,                0.76078,                 1.3824,                0.96391,                0.93511,                0.97812,                0.80581,                0.74207,                0.48503,                  1.237,             0.00095186,             0.00095186,             0.00095186
                     42,                0.90407,                0.75443,                 1.3928,                0.95882,                0.94951,                0.98296,                0.80494,                0.76197,                0.48009,                 1.2556,             0.00093352,             0.00093352,             0.00093352
                     43,                0.87362,                0.73391,                 1.3684,                0.97523,                0.94744,                0.98505,                 0.8164,                0.73363,                0.46836,                 1.2357,             0.00091518,             0.00091518,             0.00091518
                     44,                0.87936,                0.73584,                   1.38,                0.97641,                0.94015,                0.98632,                0.81855,                0.72614,                0.45675,                 1.2161,             0.00089685,             0.00089685,             0.00089685
                     45,                0.88037,                0.71035,                 1.3731,                0.95893,                0.92103,                0.98011,                 0.8066,                0.75885,                0.49856,                 1.2251,             0.00087851,             0.00087851,             0.00087851
                     46,                0.87142,                0.72885,                 1.3659,                0.97197,                0.93947,                 0.9836,                0.82142,                0.70687,                0.45777,                  1.208,             0.00086017,             0.00086017,             0.00086017
                     47,                0.84645,                0.69703,                 1.3446,                0.96318,                0.95611,                0.98103,                 0.8219,                 0.7159,                 0.4469,                 1.2179,             0.00084184,             0.00084184,             0.00084184
                     48,                0.83695,                 0.6891,                 1.3346,                0.96554,                0.95371,                0.98243,                0.82403,                0.70525,                0.44135,                    1.2,              0.0008235,              0.0008235,              0.0008235
                     49,                0.85066,                0.71066,                 1.3521,                0.97795,                0.93586,                0.98685,                0.82448,                0.72701,                0.44177,                 1.2262,             0.00080516,             0.00080516,             0.00080516
                     50,                0.84374,                0.69319,                 1.3418,                0.96999,                0.94352,                0.98677,                0.83307,                0.70163,                0.44354,                 1.1903,             0.00078682,             0.00078682,             0.00078682
                     51,                 0.8313,                 0.6793,                  1.332,                0.94449,                0.96663,                0.98784,                0.82279,                0.70352,                0.43486,                 1.2038,             0.00076849,             0.00076849,             0.00076849
                     52,                0.84386,                0.68804,                 1.3391,                0.95854,                0.94273,                0.98549,                0.83019,                0.69539,                0.44854,                 1.1976,             0.00075015,             0.00075015,             0.00075015
                     53,                0.82223,                0.66943,                 1.3304,                0.96653,                0.95743,                0.98436,                0.82791,                 0.7114,                0.44516,                 1.2122,             0.00073181,             0.00073181,             0.00073181
                     54,                0.82024,                0.65533,                 1.3205,                0.96862,                0.95214,                0.98839,                  0.837,                0.69607,                0.41109,                 1.1952,             0.00071348,             0.00071348,             0.00071348
                     55,                0.81769,                0.66406,                 1.3235,                0.97831,                0.95175,                0.98741,                0.83174,                0.69445,                0.42184,                 1.1873,             0.00069514,             0.00069514,             0.00069514
                     56,                0.82013,                0.66174,                 1.3224,                0.96723,                0.95575,                 0.9884,                   0.84,                0.67625,                0.41097,                 1.1741,              0.0006768,              0.0006768,              0.0006768
                     57,                0.80807,                0.64368,                 1.3071,                0.97218,                0.95955,                0.98771,                0.84236,                0.66968,                0.40649,                 1.1589,             0.00065847,             0.00065847,             0.00065847
